,Category,Response_preprocessed
959,SeekingMoreInfo, I am Munirah Dato Muthukumar new PA Dato would like to checkin for 4 room on 15 November - 30 November 2021. Could you provide us aQuotation of room and price for 4 room with facilities bellow: gh floorKing- size bed Away from lift.  Facilities at open area:Swimming poolFitness Centre Bar and Dining  
2707,ConnectLater,Thanks for follow up. At his moment we have covered our recruitment needs. Any way we would keep your data and contact and I make contact for any recruitment in the near future
3326,ConnectLater,Thank you for approaching me. Weve completed our needs for this academic year. We will keep in touch
1423,SeekingMoreInfo,Can you give me a estimate of cost per month and what services will beincluded in that cost
3108,ReferredSomeone,Thank you for your message. Please contact crystal. wallace@sparkfoundryww.com
350,Deactivated,Thank you for the info but we do our drafting and detailing inhouse only
1627,ConnectLater,Thanksfor your introduction. Will get in touch with you if required. Thanks  
644,SeekingMoreInfo,Hope you are doing wellWe have already shared a few openings with you but not getting profilesfrequently. So this way we are not able to close the positions. If really wants tocontinue please share profiles. 
1675,SeekingMoreInfo, Bit confused by the email. You have my reply. I was interested in the roleand will definitly talk to them if they consider my experience etc. to beworth talking to me. Let me know if I have misunderstood your query. 
1508,ConnectLater,Thank you for your email and follow up.  I have forwarded your email to the IT department who takes care of this business line.
670,SeekingMoreInfo,I saw your address is in BC please advise if you have any coordinator in Ottawa or in 
2164,MovedOut,Please note this email address is no longer active as the inidual has left Auckland Airport.
2795,ReferredSomeone,Please contact Liam son in my absence liamson@puresearch.comThank you
1992,SupportAutoResponse,#NAME?
1180,Unsubscribed,SPAM
2130,SeekingMoreInfo,can you please send me company profile
1362,MovedOut,Thank you for your email. I am no longer employed by Public Health Solutions. Please direct messages to Lauren F. Hay at lhay@healthsolutions.org
2697,AgreedToMeet,Confirming the payment. Setting up the kick-off call tomorrow to get Sales Assistants started. 
2085,Unsubscribed,Im not interested. I request you to remove me from your mailing list. 
2214,AgreedToMeet,OK
787,SupportAutoResponse,Please type your response aboveThanks for reaching outspanspanYour request 2037154 has been received and is being reviewed by our support staff. Well get back to you as soon as possible.Did you know your customer account is already set up and ready to use With the NEXT mobile app you can create customize and send unlimited free Certificates of Insurance update your business information and much more. To download on iOS: a href
3064,ReferredSomeone,For all technology matters please forward all inquires to Eric Basa at ebasa@llcp.com
141,AgreedToMeet,Yes may be tomorrow after 5. 30pm 
789,ConnectLater,not looking for anyone at the moment but I have put your name on file
2016,OutOfOffice,Thank you for your message. I am out of the office. I will have limited access to emails. I will return September 15.
2314,Retired,Thanks Mark but I am just starting a contract working from home with DWP handling Universal Credit claimsI am basically running down to retirement in 12 months so just filling in really but thanks for thinking of me
715,SupportAutoResponse,If you need immediate assistance please call 1-877-883-8757 or login to the VSI website and submit a Support Ticket. Thanks and have a great day.
1718,AgreedToMeet,Let us connect on Friday at about 2pm to help me decide. 
2006,MovedOut,thank you very much for your message. Please note that Mr. Peter Martin has left the company. Please contact his successor Mr. Ralf Schmidt. ralf. schmidt@dieffenbacher. de
2517,ConnectLater, I checked internally and there is no interest currently as our teams are already working with some agencies.  Will reach out for any future requirementhis. 
1534,MovedOut,Thank you for your email. I am currently no longer with the company. If you need assistance please connect with the following iniduals. Digital Payments - Criscitiello Carolyn F carolyn. criscitiello@santander. us
1874,AgreedToMeet, I am not currently recruiting. I am always happy to speak to anyone so Id be happy to have an introductory call with Irfan. 
1405,AgreedToMeet,I will call you
619,AgreedToMeet, Lets connect tomorrow after 3 pm. 
407,SeekingMoreInfo,Please share more details for further proceedings. 
2296,AgreedToMeet,With reference to the trailing mail kindly arrange for a technical call or a webinar on oil filtration. Meanwhile we are processing for the purchase of Minimac oil filtration machine FS series. With RegardAnkit SonuSr. Engineer CHPGVK Power Goindwal Sahib Ltd. Goindwal Sahib Kapurthala RoadGoindwal SahibDist- Tarn Taran- 143 422 P. BMb: 9450367567www. gvk.com
1504,OutOfOffice,We have a public holiday today. Please expect a delayed response to mails.
1610,Deactivated,NoBest
2273,Deactivated,No Thanks .  Not at the moment.
2064,SeekingMoreInfo,I have gone through your website. Since it is headhunting I think expertise is unrestricted in terms of domaingeography. What are the levels either in terms of GradesDesignations or Compensation offered for a position that you restrict yourselves if there is any. 
498,Unsubscribed,VendorLike you I receive about 5 to 15 emails a day from vendors trying to sell a product or service.  Not surprisingly each email contains a request to get to know them better or spend 15 to 30 minutes of my time to learn more about their company or product.  This is simply not feasible.  If I honored these requests I would lose 3 to 5 hours a day.  I simply do not have the time. If I am interested I will let you know otherwise please understand that I am not interested and this email is a response to your request. Kindly please remove me from further marketing emails. Thank you for understanding. 
343,SeekingMoreInfo,Thank you for reaching out. I would like to know more about your YCOI model.
2752,Unsubscribed,Please stop contacting me.  Our HR department takes care of recruitment. 
2582,AgreedToMeet,I tried calling you on your given number wanted to speak with you about the staffing solution your company offer. Give me a call on 7620892676
783,Retired,Thank you for your email.I have retired from Midland Steel Company effective June 30 2017. For all Midland Steel related matters please contact Cody Benitz in estimating at 816-233-5111  x322 or via email at cbenitz@midlandsteelco.commailto:cbenitz@midlandsteelco.com and he will be able to assist you.Thank youDoug
1906,OutOfOffice,Thank you for your message. I am travelling and attending meetings until Wednesday 20th October. If you need immediate assistance please contact me via SMS
1656,Deactivated,I havent worked as a QS for a manufacturer before. This doesnt seem to be a right fit are tlooking for someone with a consultancy background
304,OutOfOffice,I am out on PTO with limited access to email. I will respond to your message once I am back online.
2833,MovedOut,I am no longer working with Futures Explored. Please contact romansitaruk@futures-explored.org
2103,Unsubscribed,Thank you but Im not interested at this time. Please remove me from your sales list.
665,Unsubscribed,Unsubscribe please. 
1178,ReferredSomeone,Please take a kind note that my email ID has changed now.instead of niranjan. jha@adani.com you can now reach me on niranjan. jha@adani.in.
1245,Deactivated,We have our own development team. 
2081,ConnectLater,If interested will reply next week 
1899,SeekingMoreInfo,Are you looking for a job
1868,OutOfOffice,I am out of the office returning on Tuesday 7/7. Please contact Adelina Vasiliu if you need assistance.
2816,ConnectLater,Thanks for the email. I am already in discussion with kiran
85,ReferredSomeone,the e-mail address of Mrs.  Mr. Devashree Shende has changed. br br Please use the following email address for further communication - from now on: br devashree. shende@thyssenkrupp-materials.comspanbr  We will forward this e-mail to Mrs.  Mr. Devashree Shende
2523,ConnectLater,Thanks for the mail. Although the opportunity and technology appearvery interesting the particular role seems to be less senior than the oneI am involved with right now with the corresponding salary. Thanks for theconsideration in any case.
942,AgreedToMeet,I am working only in RD environment functional safety  ISO26262. Willing to evaluate anyway but not now crunch due to 2 unexpected projects  lots of akquisitions. Maybe Q421. B. RehVon: Sarang sarang@robotsafetycenter. 7ts-e.comGesendet: Freitag 27. August 2021 16:32An: Reh Bernd Bernd. Reh@eberspaecher.comBetreff: Task-based safety risk assessment tool 6360381784991 BerndHope you are doing greatWe went through your profile. You might find our new task-based safety risk assessment tool useful given your considerable experience in industrial risk assessment. Were double-checking that weve followed the ANSIRIA guidelines. If this sounds like something youd be interested in Id be pleased to provide you additional information. Please reply to this email to set up a call to learn more. Looking forward
962,Unsubscribed,Why are you spaming my mail box. I am an investment banker and not a Tech guy. Stop spamming
842,Unsubscribed,Never email again
1745,Retired,I have retired
2700,ConnectLater,this id has change. 
1973,MovedOut,Joe Kulle is no longer employed with SolutionHealthElliot Health System. If you need additional assistance please contact Deb Dulac Debra. Dulac@SolutionHealth.org
2316,AgreedToMeet,Let me know if youre still interested in a discussion. Im free most timesWednesday Thursday or Friday.
1657,Deactivated,No  I am not in the position to do this. Sorry about that. 
291,SeekingMoreInfo,Thanks for showing your interest. We are looking for an Agency to help us with a few mandatesPaymentTerms 5 of the Annual Salary and payment immediate after 90 days . Let meknow if it works for you.   
2182,ConnectLater,Apology for delay in revert. We will let you know if we required service offer by you.  Thanks
1458,SeekingMoreInfo,Thanks for reaching out. Do you have Sr. Java Sr. angular Sr Full stack profiles How do you work will you charge something for providing candidatesCan you brief more about your services. 
605,SeekingMoreInfo,Maybe you were busy and you could not join yesterday to get your AI salesassistants trial started. Let me know if you have the contacts ready along with a couple oftestimonials and we can get started. 
2322,Deactivated, Im very happy at Greencoat thank you and not looking to move. 
917,ConnectLater,Not required currently if any requirements come in near future willcontact you
1625,SeekingMoreInfo,Can you share the detailed  brochure.
2087,Retired, Sorry about not getting back to you many thanks for thinking of me unfortunately I am now medically retired due to health problems and unable to help. I have been retired for 2 years and have been totally out of touch with the industry so I am unable to surgery anyone to you. Hope you find who your looking for 
1100,AgreedToMeet,Yes I am interested. Please contact me on 7677002011
1089,Deactivated,Not interested
3092,Deactivated,I am not sure why you are sending this to me I am utterly confused as I would not deal with any of this. We are also not a recruitment consultancy but a Flexible Working Job Board. 
3393,SupportAutoResponse,Please enter replies above this line You are receiving this message because a ticket was created for your company. Replies to this email will be added as a note onto this ticket. Ticket T20210820.0036: Make application development time 28 faster faster 4203984939092 Thank you for contacting us. A service ticket T20210820.0036 has been created for UTEC. We will attend to your ticket as soon as possible. The details of the ticket are listed below. When replying to this ticket please ensure that the ticket number is included in the email subject line. Ticket : T20210820.0036 Created on 08202021 10:46 AM ET by Autotask Administrator Title: Make application development time 28 faster faster 4203984939092 Description:
822,MovedOut,Thank you for your email. I am no longer working at Teachers Mutual Bank Limited. For any assistance please contact my previous PA Mariam Said at msaid@tmbl.com. au who can direct you to hte most approriate person. . Best 
3220,SupportAutoResponse,Please type your reply above this line -Thank you for contacting Cloudflare Support. Your issue has been marked as Resolved in our system. If you require further assistance simply reply to this email to re-open your ticket. If you have a new issue later on please open a new ticket with us so that we dont confuse two separate issues. Thanks.Also if you receive a customer satisfaction survey request please take a moment to rate your overall experience and provide any suggestions you have. We value your feedback greatly. Thanks for being part of CloudflareCloudflare Support Team Bot Cloudflare Support Join the Cloudflare Community
2801,Deactivated,I am currently working for a staffing company.
1303,ConnectLater,I have been told to hold this position for sometime.
1001,SeekingMoreInfo, I need information about moisture content in Gear oil. And how to remove itAcceptable values. I have extruder gearbox 2. 6MW motor capacity. Mainly helical gears andspherical roller bearings. Forced lubrication by gear pump. We gotoil  cooler gasket torned and oil leakage happened. After gasketreplacement our moisture content in the oil increased drastically fromearlier 75ppm to 1250 ppm. I like to know whether can run machine like this for some time. If run what will be effect on machine gear and bearings due to highmoisture. GB oil capacity 1000ltr sump and lub pump piping cooler 200 L. Total 1200Ltr. Pls tell us maximum acceptable value of moisture in our case. Oil temp ismax 40deg . Oil is Servomesh SP 220 Indian oil. Reason for moisture increase and probable causes and remedies. 
2466,OutOfOffice,On PTO
19,Retired,Many thanks for the data most interesting particularly as I started outin fluid power.However sadly I am now semi-retired and offer only advice on various RDprojects so please do not set up a meeting.Meanwhile I wish you and yours a very Merry Christmas and a Happy new year.
494,AgreedToMeet,Give your number 
1126,MovedOut,Thanks for writing. Francois Rogers is no longer with Blue Planet Foundation. If you would like to reach someone at the Foundation or would like Francois contact information please email info@blueplanetfoundation.org. 
1961,Retired,Thank you for reaching out.  I have retired from Tenaska effective Dec. 31 2019.  If you need IT help please contact the IT help desk at 402.758.6123.
2167,MovedOut,I have moved out of Navin effective July 31st and will no more be available for any official discussions. Pls get intouch with Suresh Nair for any queries related to HRAdmin. 
2092,AgreedToMeet,Thank you for letting me know that you have an equipment that can controland reduce the TAN no specially for hydrocarbon base oil. And appreciate your approach will be in the office the week of 20 Sep. Please setup a video conference any time the following week and let meknow always I will be available in the office from 9:am to 5 pm Cairotime. 
3359,SupportAutoResponse,Please type your reply above this line -Your request 134609 has been received and is being reviewed by oursupport staff.To add additional comments reply to this email.
1930,Retired,I am no longer with the Neil Jones Food Co. enjoying my retirement. If you have any questions please contact Brian Ingalls at BrianI@njfco.com
2228,MovedOut,Thank you for contacting us. We regret to inform you that Chance Dubuque is no longer working at DefinedCrowd. Please direct any future correspondence to Martin Andreas Stein at martin. stein@definedcrowd.com. This message may contain proprietary and 
3052,AgreedToMeet,Im looking for double occupancy room  me and my wife  best deal.  Please call me today at 8 pm on 8208258914.  ThanksRiddhish   
688,AgreedToMeet,Im interested . 
1934,Deactivated,Zero need or interest now or ever
1438,MovedOut,Thank you for your email however this account is no longer active. For all support related enquiries please forward your email to helpdesk@skillsoft.com. For all other enquiries please contact Matt Stanyon-Tall at matt. stanyon-tall@skillsoft.com
2300,SeekingMoreInfo,We want to give franchisee for our products. Can you please call me and send me message before calling me.
2994,Deactivated,Thanks. No such requirment at present . 
1010,AgreedToMeet,Thank you for your response.   60 min demo will be great next week.  Are you located in India or UK  Just trying to figure out the time difference. 
2744,SeekingMoreInfo,Could you give available packages and respective cost
361,AgreedToMeet,My contact details: 9834047212
2906,OutOfOffice,Thank you for your email. I am on leave on 11th and 12th Feb 2021.  Please expect a delay in my response.  In case there is anything that needs urgent attention please call me on my phone.
3114,ReferredSomeone,Please note this email address expires 31 March so would you please delete it from your address book and replace it with:-vivienne@viviennekingconsulting.comId hate to miss anything. 
2190,Unsubscribed,Please STOP. 
1311,MovedOut,Thanks for reaching out.  I longer work for the Stratacuity branch and have a different Consultant position with Apex Systems. If you are a contract employee candidate or vendor reaching out please contact your recruiter.  Or another resource would be Susi MacDonald smacdonald@stratacuity.comIf you are a client please reach out to Stratacuitys Managing Director Ryan March rmarch@stratacuity.com
1841,Deactivated, Thanks for getting in touch but this isnt a model Id consider moving to at the moment. ThanksHenry  
1445,SeekingMoreInfo,Do you use Bullhorn
3124,OutOfOffice,Thanks for the email I am out of office with limited access to eamils.
2045,OutOfOffice,I will be out of the office 09/18-09/24/21. Otherwise I will respond when I return 09/25/21. Thank you for your patience.
345,ReferredSomeone," I have changed my email ID tosumi@ssquaredarchitects.com,shaji@ssquaredarchitects.com. However I will be still receiving mails in my old email IDsumi@ssquareddesigns.com ,shaji@ssquareddesigns.com for a short while. Please update your contact list to include my new email ID. "
987,SupportAutoResponse,Please type your response aboveOliviaWed love to hear what you think of our customer support. Please take a moment to share your thoughts below:table cellpadding0 cellspacing0 aligncenter stylewidth: 100tr styletext-align: centertd stylepadding-bottom: 24pximg src
3097,Unsubscribed,Email on domainelectrolabindia.com will not be received immediately and response may get delayed. For further communication and speedy response please send email on domain 
744,SupportAutoResponse,If it will not cause any inconvenience please reply to the last paperworkI sent. In case the message might not have arrived please do it right now.
1732,OutOfOffice,"I'm OUT OF OFFICE coming back on monday 21/september
During OOO I'll not have access to mails and phone calls. "
2494,Unsubscribed,Please remove me from these spam emails This is cold contacting at its worst and is relentless
114,Retired,I have retired as of January 1 2021 and left Mission Critical Partners. If you have any urgent matters please contact Mark Moloney at markmoloney@mcp911.com or at 321-848-2273
3205,SeekingMoreInfo,We are a manufacturing company with 120 employees at our factory in KarurTamilnadu.  Ref your AI based Virtual Covid Marshall would like to knowmore about the solution and its benefits. Pls provide more details in this regard
1242,ReferredSomeone,Sorry I missed you. Please forward all requests to Jim Powell Director of Operations at jim. powell@cgtower.com. He will follow up with you as soon as possible. 
1143,AgreedToMeet, thank you for your e-mail. The meeting will be with Yves Frey and its scheduled for 11. 8. 2021 at 11am CET
2541,OutOfOffice,Im currently on Maternity Leave. During my absence please contact-benefits@forgerock.com for benefits matters. immigration@forgerock.com for immigration matters. hr@forgerock.com for all other hr matters
1217,ConnectLater,We have an in-house legal council . However connect with me in December we can explore the options . 
1199,AgreedToMeet,I am looking for      Senior application developer and tester     Senior magento developerBoth should have experience working with startupsYou can call me to discuss - 9167055270
86,ReferredSomeone,The person you are trying to reach does not work at Cantel Medical. Please contact 763-553-3300 if you have any questions. 
2351,ConnectLater,Thank you for your email.
1382,Deactivated,Please ignore this email . we already had discussed with Mr. Rohan. its my mistake I had missed to update my internal Team
1564,MovedOut,I no longer work for City  Guilds Group. For all enquiries please contact Cath Pert at Catherine. pert@cityandguilds.com
669,AgreedToMeet,Were here to help you through this time of uncertainty with answers to questions training resources free Cvent Certification courses and peer-to-peer forum in the community.   PRODUCT SEMINARJoin our virtual seminar 10th 17th  24th March 2021       12:00 PM SAST  2:00 PM GST  3:30 PM IST   Reserve my seat
1015,SeekingMoreInfo,we are working in Real estate Sector . For the new project we need staff. ie CRM having experience to runsoftware and excel. Sales MarketingReceptionist
129,Unsubscribed,Please remove me from your list. 
1365,OutOfOffice,Im on OOO back on Wednesday 1013. Im available on my mobile for urgenct issues.
3297,MovedOut,Thank you for contacting Ameri-Force Management Services Inc. . We regret to inform you that Andy Nauman is no longer employed here. Please direct any future correspondence to Joshua Manning at JManning@ameriforce.com. This is an automated reply. For your convenience this email has been automatically forwarded to Joshua Manning. 
1507,ConnectLater,If any requirement regarding oil flushing and oil purification I will inform you. at present we have no requirement if any I will revert you madam
892,Unsubscribed,Youve never fulfilled a single candidate so please stop sending emails. 
3089,AgreedToMeet,I would like to have a discussion on this  pl call me  
1360,Deactivated,Thanks but I am not interested.
308,SeekingMoreInfo,What will be the final price and if I come with my wife . What will be the cost
384,Deactivated,Thank you for your email. Currently I dont have any plans for Franchise.
151,ConnectLater, sorry i could not attend to your mail. I will come back if i have further queries
1318,AgreedToMeet,do not mind to disturb you however I would like to follow up on theaction of this callDo you have any updates for us Should we get on to a call today afternoonat 3pmThanks and
2554,Deactivated,We arent looking for any remote interview services. We have our own VCtool. 
2233,Deactivated,No 
427,Deactivated,I have not visited your website page however I am not the right person for hiring services. Please reach out to our recruitment team
495,AgreedToMeet,Isabella thanks for reaching out. Are you available for a call early nextweek say Monday or Tuesday morning
1208,MovedOut,"Jim is no longer with Gambone Steel Company Inc. as of Friday September 10 2021. All emails will be reviewed and forwarded as needed. Should you need immediate attention please forward your email to shop@gambonesteelcompany.com ,shop@gambonesteelcompany.com or contact our office at 610-539-6505"
2668,ConnectLater, will surely revert back once things settle down
2046,MovedOut,Thank you for your email but please be advised that I no longer work for ACH Group. For operational matters please contact Service Desk on 08 8159 3699 or servicedesk@ach.org. au. For cyber security notifications and enquiries contact security@ach.org. au. 
1209,OutOfOffice,"Thanks for contacting me. 
I am out of the office Tuesday December 22 through Friday December 25. I will have limited access to email and will respond to your message as soon as possible. "
2607,SeekingMoreInfo,Hope you have received the invoice shared by our finance team. Please check and let us know once you have made the payment so that we canget onto the onboarding process. New quarter starts in 7 days. Lets set it up before that. 
2759,Unsubscribed,NB Please remove my email and contact details from all your lists. I do not wish you to further contact me nor retain any of my information. 
2506,AgreedToMeet,Please propose some times Monday or Tuesday next week
1761,OutOfOffice,Im on paternity leave through September. For urgent issues please email vanpelt@wandb.com.
1240,ConnectLater,Currently we do not have any blue collar requirements we will get back to you for any need in coming future
1638,Unsubscribed,. UNSUBSCRIBE
3171,OutOfOffice,Im currently on annual leave with no email access. For sales support Enquiries  please write to  Mmarigi@agility.comFor escalations please reach out to Tsaliba@agility.com or Swanyama@agility.com
276,MovedOut,Ms Ayyappa is no longer working in our company. Kindly send your inquiry query to manish. kumar@enaviya.com. We will attend to your email promptly
490,Retired,I retired from Behr over 4 years ago..  Since then they were bought by Alter. I have no idea whats happening there. 
1583,Deactivated, there  not at this time.  We were just acquired by a much larger organization and tare going to have us use their tools. 
1230,Deactivated,Many thanks for reaching out but we are not interested. 
691,AgreedToMeet,Yes 1pm Tuesday should be fine. I havent updated my CV for a while but Ive attached the most recent version.
1719,AgreedToMeet,Please Call me mention below number.
2280,OutOfOffice,I will be out of the office Friday October 23rd through Monday October 26th. If this is an urgent matter please reach out Yan Chen at ychen@epharmasolutions.com. Otherwise I will reply to your email upon my return.
3049,ConnectLater,I am not looking for a new job at the moment. Thank you for your interest in my person. I wish you that you find the right one.
1579,Deactivated,Thanks for reaching out. . We dont have a business to engage
2514,ConnectLater,Noah. thanks for reaching out. At the moment this is not sometng we need help for
2370,Retired,No doubt Rachel that your publication is good and the cost reasonable but as said Im retired have no use for most of ur info anymore and amin the processes of winding down my company. Sent from my iPad 
1059,Deactivated,Apologies as I had not seen your previous emailI am not interested in this position as I am happy in my current role
119,AgreedToMeet,Would like to connect on 9160222286
1025,MovedOut,Thank you for your message.  As of Saturday 9/18/2021 I am no longer with Maxim Healthcare Services.  Please contact the local Evansville office at 812-475-8466 for assistance
2098,Unsubscribed,Please unsubscribe meBest
282,Deactivated,We have no need for these services thanks. We are a free-zone company with very small headcount. 
1952,ConnectLater,Will get back when its time for Us
1317,SeekingMoreInfo,I am reaching out in reference to your email conversation with my colleagueSoman regarding our digital marketing offerings SEOSMOPPC. 
2654,ConnectLater,Thank you for your emails. Not considering it for now  would be interested in future
969,ConnectLater, Interesting facts will surely get back to you. 
2097,Deactivated,Dear Thanks for the message. Im not interested in the position advertised and only be willing to consider position in London and on a managerial level technical director etc. . CheersMassimilianoGet Outlook for Android
1832,Retired,Im retired  
1903,MovedOut,"Thank you for your email.  As of 932021 I am no longer working at Wesley.  Please contact your new IT team contact if we were working on a current project.  Otherwise please call 206-824-5000 and ask to be put in touch with the new VP of IT. Jesse DykshoornVP Information TechnologyPhone: 206-870-1270Email: JDykshoorn@WesleyHomes.org,JDykshoorn@WesleyHomes.orgwww. wesleychoice.org"
620,Deactivated, at this juncture its not required. Would connect for any requirements. 
3156,SeekingMoreInfo,We have already given an order for filtration on approx 30K oil at our siteto your esteemed organization and this work may start from tomorrow onwards. I am very much occupied with my working load over here and hence notattended any seminar conducted by you. And I will be much more busy in thecoming 2 months as our unit capital overhauling will be executed. Thank youvery much for your mails. Please send any PPT or docs which I can read inmy leisure time and have some ideas. Thanking you
156,MovedOut,"I no longer work for PeoplePlus. Please contact me at my new Babington email addressGavin. Bridge@babington. co. uk,Gavin. Bridge@babington. co. uk"
305,SeekingMoreInfo,Sorry but I did not recieve any previous email. Can you elaborate about thetopic
2219,ReferredSomeone,I think this email is for Shilpi
2900,AgreedToMeet,Please meet me at office and lets figure out the way forward. 
2178,SeekingMoreInfo,Can you please share this with Lalitha
2408,Deactivated,Thank you but for the moment it is not necessary.
2551,MovedOut,Thank you for your email but I have now left the business. Please ensure you get in touch with one of the contacts below who will be able to support. For Client Queries - Paul. Norfolk@ashbury. global 
1308,AgreedToMeet,Please let me know when we can connect for the further information. 
2227,SupportAutoResponse,Submit a ticket via the ServiceDesk
576,Deactivated,Thank you for reaching out. I am no longer an employee of Carlisle Companies.
2231,ConnectLater,Apologies for not responding earlier. At present I am working on a contract basis and I am not currently looking for a new opportunity. Thank you for thinking of me for the role. 
2925,ConnectLater,You have been emailing a number of our Partners and they have all been forwarded to me.in future please reach out to me in the first instance. 
2984,SeekingMoreInfo, I am not able to create my login due to the error message PreSignup failed with errorUser Already exist. Please suggest. 
1300,ConnectLater,What makes you say we are still on Magento We migrated to Big Commerce in November Teri Morris OwnerPeyton Street Pens 
2933,MovedOut,"This person is no longer affiliated with Avero. For support please email support@averoinc.com,support@averoinc.com. For sales please email salesteam@averoinc.commai"
2822,Deactivated,Thanks for sharing the details but as of now I am not interested in such services as my most of my clients have their own tool and tprefer their tool for taking interviews. 
2737,ConnectLater,Thank you for reaching out. At the moment we are not looking for AWS migration or cloud native development. If there is interest on our side we would actively contact you.
1722,SeekingMoreInfo, SilvaHope you are doing well and sound. My apologies for not getting back to you earlier regarding the subject role which  had sent it initially. I was very busy with the workload and for that reason could not connect with you. I am really interested in this role and would like to know more about the company and their current project in the pipeline. Please see the attached my current CV as you requested. If you need anything else then please do let me know. Hope to catch up with you soon. 
844,MovedOut,Thank you for your email. Mitch Eisen is no longer with gher Logic. Please contact James Willey at JWilley@gherLogic.com if you have any questions. 
1645,AgreedToMeet,I would be happy to have a chat with David.   Thursday would be a  to take a call. My number is 01539 877137 
270,OutOfOffice,I am out of the office through January 2. I will be checking email through the holiday but my responses will likely be delayed. 
630,Unsubscribed,Please remove all EdgeConneX contacts from your contact list.
1034,ReferredSomeone,I forwarded to our HR responsible persons. They will contact you in case we have any need of your services 
1911,OutOfOffice,"Thank you for your message I am currently out of the office returning on Monday 7/6. 
"
287,Unsubscribed,No thank you please remove me from your list
1327,AgreedToMeet,Can we set up a call today to discuss the same. 
3128,AgreedToMeet,Will go thru your brochure can we connect at 3 pm today 
301,OutOfOffice,Great newsOff in the Adirondacks from Friday 7/30 and returning on Monday 8/9. If you are looking to join our upcoming Brand Of You Challenge please register here:
2903,SeekingMoreInfo,Yea cause i dunno when we can come and how are you priced
1448,AgreedToMeet,Sure will call in the first half tomw say around 10 am
1473,OutOfOffice,Please note that I will be out of the office for the holidays returning on Thursday January 2 2021. During this time away I will have limited access to email so my response to your message may be delayed.
2426,Deactivated,I am not very keen on attending the Detox Program
2112,MovedOut,Please be aware I have now left DXC - Wendy Dow will be taking ownership of my Lead Hosting Architect role going forward. Sean Irwin is handling VMAS Migration activities in an architectural capacity. 
3236,OutOfOffice,Thank you for your message I am enjoying the holidays and will be returning on Thursday January 2nd. I look forward to reading your message when I return. 
66,OutOfOffice,I am out of the office. I will return to the office on 10/26/2021. If there is a need to contact me immediately please reach out to me email or the number below.
2530,MovedOut,As of September 21st I am no longer an active member of ElemenoPlease update your address book and reach out to the following awesome Elementals instead steve. mundro@elemenohealth.com
891,Deactivated,Sorry but its a too big travel area and not my sector. 
1942,Unsubscribed,Ithis timeTime to get off the social media merry-go-round that goes faster and fasterbut never gethis anywhere. Time to stop hustling and interrupting. Time to stop spamming and pretending youre welcome. Time to stop making average stuff for average people wle hoping you cancharge more than a commodity price. Time to stop begging people to become your clienthis and time to stopfeeling bad about charging for your work. Time to stop looking for shortcuthis and time to start insisting on a longviable path instead. xe2x80 this is Marketing: You Cant Be Seen Until You Learn To See Seth Godin
2965,Retired,thank you for your e-mail. I no longer work for Intermap Technologies having retired at the end of April 2021.  If this is an important HR related matter please contact Karen Taylor at ktaylor@intermap.com.
2609,OutOfOffice,"Thank you for your e-mail. 
I am on Annual Leave till 4th May 2021 with limited access to emails. "
2510,OutOfOffice,Out of the office 12/10-12/11. Limited phone or email access during that time.
231,AgreedToMeet,9820074103 is my number
504,MovedOut,Thank you for your email. Please note effective from 5 February 2021 I no longer work for the Townsville Hospital  Health Service. For urgent matters I suggest you contact Tegan Davis on 07 44330087 who will provide advice on re-directing your email. Sam Galluccio
1587,Unsubscribed,Please stop sending these emails.
2982,AgreedToMeet,Yes call me tomorrow morning
1887,SeekingMoreInfo,Im looking for US based senior Azure DevOps engineers to be hired as full-time. Do you have good candidateS
1611,SeekingMoreInfo,Sorry whos this. I dont remember sending any mails to you. So what is it regarding Orion CarsOperation TeamMumbai. Maharashtra India 
1005,OutOfOffice,I am currently out of the office until Tuesday September 15. 
837,ConnectLater,Our recruiting needs are taken care of for the moment however I have passed your details onto my HR team. 
2013,MovedOut,Rob Marcus is no longer with Philadelphia Youth Network. Please forward your inquiry to mpompey@pyninc.org
375,Unsubscribed,Remove me from your contact list.
2184,ReferredSomeone,"Thanks for reaching out.   All IT related inquiries should now be directed to Ray Neeb at rneeb@artsquest.org,rneeb@artsquest.org"
2407,Unsubscribed,Please remove 
2527,MovedOut,Please be advised that the person you are trying to reach is no longer working for IDA Foundation. If you would like to speak to one of our colleagues please contact IDA Foundation at 91 22 6740 6991 or gnaiker@idafoundation.org. We apologize for the inconvenience
940,ReferredSomeone,Please be advised all inquiries to this email address should now be directed to Melissa King at Melissa. King@ellucian.com. 
1322,ReferredSomeone,To whom this may concern regrettably Mr John Fowler has passed away. If you would like any assistance regarding Asbestos or surveying please contact the below membersrd@angliandemo. co. uk
2970,MovedOut,Please note this employee is no longer with Beyond please contact Honora Moore at honora. moore@getbeyond.com
752,AgreedToMeet,Can we connect tomorrow
100,AgreedToMeet,Pls call me mark 07470250568
2606,SeekingMoreInfo,Can you tell me is their any freelance Hr recruitment offerwhich i can do as a fresher
867,Unsubscribed,If your system is as bad as your emails I have no interest. UNSUSBCRIBE
911,Deactivated,No thank you Sue not at this time. 
1733,SeekingMoreInfo,Surprisingly I have never spoken to you nor heard anything about you stillyou got to learn about me. Do let me know what have you learnt about me 
530,Unsubscribed,Remove. www. luc. id
1261,Unsubscribed,I am not interested in this business opportunity. Please dont send me thedetails. Sorry
