,Category,Response_preprocessed
105,AgreedToMeet,Yes most definitely. Let us get on a call to discuss this Whats yournumber
3672,SeekingMoreInfo,Please share your contact details we will connect you to discuss further .  
451,AgreedToMeet,Nice to meet you  and I work in the same team. I look forward to speaking with you tomorrow at 12noon. If possible kindly email your updated resume so I can prepare for you. 
1797,OutOfOffice,I am out of office on vacation until Monday the 18th October. I will respond to your message as soon as possible after my return.  
3105,ReferredSomeone,I am no longer with Think Talent. Please direct your query to Ainsley Johnstone at ainsley. johnstone@thinktalent.com. au
3869,Unsubscribed,Unfortunately we dont work with agenciesthink. Ill keep you in mind if that ever changes but in the meantime please could you ensure all Pod Point email addresses and phone numbers including mine are removed from your database
607,ConnectLater,Thanks for your mail. Will revert when the need arises. Thanks and 
131,AgreedToMeet,SureYou can call and discuss
1288,Deactivated,I receive emails like these every day. Sometimes four or five in one day and all of them have ties with India. Must be hard trying to stand out in the crowd. Always buy American
3647,SeekingMoreInfo, I want to be your francise partner. Do you help to get bank loan for francise. 
1556,Deactivated,Yes I have received your emails. . unfortunately this is not of interest to me currently. 
1945,OutOfOffice,"Thank you for your email. 
I am currently on leave; and will resume to my work station on Monday 4 Jan 2021
During this period I will have limited email access; you may WhatsApp me and i shall response when convenience. 
"
3046,ReferredSomeone,Thank you for your email I have moved on from CBRE. Please contact the following in relation to recrutimentGlobal Local Director: Theresa O BrienDCS: Eleanor MeadLOCAL UK: La FaciEnterpise Accounts: Louise Frier or James PainePJM: Lauren GladstoneCentral EMEA  Ireland: Rachel HughesCentral Functions: Emily MillsKind 
487,ConnectLater,Sure I will do that. Thank you. 
1365,Deactivated,Thanks for this opportunity but I am not interested in this. 
3577,SeekingMoreInfo,Please explain in detail about this franchise model or send yourpresentation to go through. 
2370,OutOfOffice,I will be out of the office on Tuesday 9/15. I will respond to all inquiries on Wednesday. 
3915,Unsubscribed,I am no longer formally affiliated with the company. Please unsubscribe my email address. Thank you. 
3104,ReferredSomeone,This person no longer works at Turbot and this account is no longer monitored. Please contact marketing@turbot.com for any queries. 
316,AgreedToMeet,Thanks for your mailYou can call us for further discussion. 
3993,Unsubscribed, I am not Jim bad first impression. Please take me off your list. Kathryn FreemanNolan Consulting Group610-714-1545 - cell 
1241,Deactivated, Thank you for your email. We will not be taking this forwardThank you for your time and understanding
602,ConnectLater,Sorry due to my busy schedule I didnt get a chance to fill out thesurvey form. I will fill it today. 
1131,Deactivated,thank you for your email but currently Im not interested in AI Recruitment Assistant. If we will have business needs for this service we will definitely contact you
2168,OutOfOffice,I am on leave will contact once i resume my duties. 
1939,OutOfOffice,"I am currently out of the office and will respond to your email upon my return onMarch 2 2021. 
"
1523,Deactivated,Thank you so Much for considering . all the best for your recruitment . 
1922,OutOfOffice,"Thanks for your email. 
I'm on leave until 18th January 2021. "
3381,SeekingMoreInfo,Thanks What programs are being offered and time frameKind 
2307,OutOfOffice,I am on holidays returning June 29. 
2345,OutOfOffice,Thank you for your email. I will be away from office on vaction from December 25 to January 01. During this time I will have limited access to emails and hence my reply to you could be delayed. 
1788,OutOfOffice,I am on leave today and have no access to laptop or phone. 
3181,SeekingMoreInfo, We have below requirements.  Please let me know if you have any candidatesin this category.  CategoryLabours  Helpers for Excavation workAge restrictionBelow 35 yearsTotal Required Nos30 workersSalary900 basic 700  Other project Allowances 200NationalityNepaliPlace of WorkUnited Arab EmiratesPeriod of Contract2 Years renewableProbationary Period6 MonthsDuty Hours8 hrs per day 6 days per weekOvertimeAfter 8 hrs. normal duty hoursAccommodationProvided by Company in CampFoodProvided by company in Camp Catering  Aed. 200 will be providedOtherAll other conditions of services shall be in accordance with UAE labour lawHealth InsuranceProvided by company as per uae LawTravel TicketEvery two Years two way ticket to Home CountryMedical  Visa Expense in UAEProvided by companyVisit visa  Travel expense at the time of JoinNot provided by Al Aberah and it should bear by AgencyService Charge  Broker Charge  Documentation Charges in UAE or NepalNot provided by Al Aberah and it should bear by Agency   
25,AgreedToMeet,Its the  lovely Holly on call this weekend so please either call 01455 552212 or email driving@lsnetwork. co. uk
848,ConnectLater,We will get back once we are interested to explore your services please. 
1529,Deactivated,Thank you for your email I do not have a need now for such services . 
2442,OutOfOffice,"I am currently travelling and have limited access to email. 
"
2765,ReferredSomeone,You have reached out to Ben Clark at Casper. I am no longer with the company. Please try Jason Sauser atJason. Sauser@casper.com
1325,Deactivated,Sorry No . I would not able to make a payment of 300000
2401,OutOfOffice,"Thank you for your email. 
I am currently out of office for customer visit with limited access of mails so you can expect delay in response. "
763,ConnectLater,First of all thanks for contacting me. At this moment I work as a SalesManager for Volta Solar An Essente
83,AgreedToMeet,I am reaching out in reference to your email conversation with my colleagueAoorthu regarding our Email Marketing offerings. Well I am one of the senior marketing consultants here at foreignerds.comand my core expertise is adding value to brands by helping them leverageinbound marketing and digital advertising. Lets connect sometime this week and talk about how our offerings can helpyou take your brand to the next levelUse my meeting link
3311,SeekingMoreInfo,Thanks for the email. Yes Im interested. Where is the location
3049,ReferredSomeone,Barbara McNichol is no longer an employee ofFSG. Please contact Ursula. shand@fsgbooks.com
3880,Unsubscribed,remove me from this  email list  not related to me xe2x80xa6Best 
3640,SeekingMoreInfo,I am reaching out in reference to your email conversation with my colleagueAnaya regarding our Digital Marketing offerings SEOSMOPPC. 
2108,OutOfOffice,"Thank you for your email. 
I am on Annual Leave 24 December returning Monday 18 January 2021. During this period the Melbourne Salesforce Operations team returns 4 January 2021. "
2950,ReferredSomeone,Sehr geehrte Damen und Herrendieses Postfach wird erst wieder ab dem 02. 08. 2021 von mir abgerufen. Ihre Mails werden nicht weitergeleitet. Mit freundlichen GrxfcxdfenFrank Berger
3730,Unsubscribed,Please remove me from your list.  Not sure how I got on it 
2408,OutOfOffice,Thank you for your email. Our office is closed for the Labor Day holiday on Monday 9/7. We will reply to all emails when we return on Tuesday 9/8. 
3102,ReferredSomeone,I am no longer working with Baxter Planning. Please reach out to Pierce Kiefer at pkiefer@baxterplanning.com for assistance. Thank you for your interest in Baxter Planning. 
2157,OutOfOffice,I am OOO on medical leave with no access to emails  calls  
816,ConnectLater,thanks but we are good to go
152,AgreedToMeet,Yes pls arrange a call back as I wish to know more about this program. 
4020,Unsubscribed,Many thanks for your email to Christian Kroll. I understand that you have contacted another colleague who is reviewing this can you remove Christian from all mailing lists please
3514,SeekingMoreInfo,Thanks for revert. however we would like to inform you we work with 8. 33 of annual CTC across all our client with 30 days payment term and 90 days replacement clause. 4 is way to less . Please let us know if any chance for further discuss 
1755,OutOfOffice,I am currently out of the office with limited access to phone andinternet I will be back on Monday 10/18/21.  For anything that cantbe answered by one of the contacts below I will review and respondASAP. For anything auction related please reach out to Christa Jones. cmjones@aptosolutions.com If you need assistance with payments or account issues please reachout to Valerie Lands. vlands@aptosolutions.comIf you need help with anything related to shipping or pickups pleasereach out to the following contact per facility:Atlanta GA:   Greg Wolfe gwolfe@aptosolutions.comAustin TX:     Chris Herzog cherzog@aptosolutions.comSan Leandro CA:  Jason King  jking@aptosolutions.com
3009,ReferredSomeone,I dont handle the awarding of the detailing subcontracts within our company but if you call into the main number for our office they may be able to steer your towards the correct people to speak with. 
1152,Deactivated,ThanksPresently still not hiring in the Salesforce or IT
1721,OutOfOffice,I will be out of the office until Tuesday 27 October 2021. For any urgent matters please contact Leana Cheng on 02 9356 0433. 
343,AgreedToMeet,Apologies for the late reply. Lets discuss this sometime later today. The opportunity looks interesting. My number is 07872167740
3233,SeekingMoreInfo, KimGood to see thar you liked the AI Sales Assistant software. We did not have enough time to discuss the next steps. As you said in the beginning your second company that helps clients to getsales done may find this useful. Pricing page is here:Lets start with one client of yours for a quarter and then you can see ifyou would like to expand it to others. I recommend you to go with 630 for 1200 contacts package for one of theclients. 
3987,Unsubscribed,Wrong email address
3188,SeekingMoreInfo,I am following up on the previous message. Hope you got time to go through my email. Waiting for your response
1879,OutOfOffice, I am out of the office on leave returning Monday 1018.  In my absence please direct questions as follows:Dockers.comShopify - Marzia Chaudhary mchaudhary1@levi.com
1227,Deactivated,I have nothing to do with hiring.computershare is a VERY large company and I am sure there is a HR group that does that but I have no idea who it is
2836,ReferredSomeone,I am felling a bit under the weather today and may not respond quickly. If you require immediate assistance with a Compute service please contact the service desk. 
720,ConnectLater,Thank you for the email.in this moment were ok with our sources. I will keep your contact details and if at a specific moment we will consider your offer as an area of interest for us I will contact you. 
1124,Deactivated, I do a low volume high value business so dont need anything for this
2582,ReferredSomeone,Thank you for contacting Ethinos Digital eting Pvt Ltd. We regret to inform you that Sunila Parkhe  Ethinos is no longer employed here. Please direct any future correspondence to Avani Desai at avani. desai@ethinos.com
3276,SeekingMoreInfo,I did see the e mail Mark but Doncaster is too far away from Bristol. I would like something more local. I am available and seeking work either contract or permanent. My day rate is about 400Please find my cv attached. 
3555,SeekingMoreInfo,Ok. We have requirements in bulk but we will be able to pay 4 forpermanent positions. Let me know if that works for you. 
2843,ReferredSomeone,Thank you for your email. This employee is no longer with the company. 
3356,SeekingMoreInfo,I am looking for the next step on my career and I am looking at positions as either Contract Manager or Commercial Manager. This sounds as an interesting position as I am mainly looking at equipment manufacturers and TIER1 EPC contractors. However the salary is not the right one for me. . Currently I am earning 65 K an therefore I am looking at jobs that will pay 70K and above. 
2447,OutOfOffice,Thank you for your email. I am currently on leave with no email access. 
737,ConnectLater, Thank you for writing in. At this stage we are not explore further tie-ups with TA partners for any services. I have your co-ordinates. Will reach out to you if the situation changes in the future. 
3070,ReferredSomeone,Thank you for your message.  Id like to inform you that I am no longer with RealPage. For additional assistance please contact one of the following leaders
1431,Deactivated,Thank you for your emails. I do not wish to set up a call. 
1303,Deactivated,rSorry but I have accepted offer with another company. 
213,AgreedToMeet, Please tell me more about this opportunity. You can call me at 31618083886
961,ConnectLater,I will call you after discussed with our Seniors. 
1319,Deactivated, thanks for your message but Im not interested in this service at this timewishes
1269,Deactivated,Thanks Yes email Received however in my current role as Head of Construction I have several senior PMs and PMs working for me the role is probably too junior for me unless the salary is 90k
1250,Deactivated,We are all set thanks. Im fully staffed. 
3623,SeekingMoreInfo,would like to know more about IAQT please send more info n details n price regarding Thanks  Warm 
1363,Deactivated,Actually I am working at Infosys as information security engineer. Anywaysthankyou for your time. 
2547,ReferredSomeone, Felicia Dannemann is no longer an employee of MRI and will not receive this message. If you are a MRINetwork member and require assistance please email the MRI App Support Desk - mrisupport@mrinetwork.comThank youThe MRI Team
1684,OutOfOffice,I will be out of the office from 11/2 with limited access to email returning on 11/4/2021. 
1206,Deactivated, I do not remember talking to you or making an enquiry on recruitments. Thanks for sharing the details about your organization. We will get in touch with you if required. Requesting you to not to bother us by dropping an email every now and then. 
3984,Unsubscribed,Thanks for contacting me though I can only presume this is an unsolicited approach since we have made no effort to contact anyone for reviewing our financial Health. I have no requirement for your services and hence you may kindly delete my name company name from your mailing list. 
3354,SeekingMoreInfo,Sorry it has been hectic week here at intersolar. Could you tell me who the module manufacturer isBRPeter
1546,Deactivated,Pl. be informed that Abhay Mehta is no more in the employment of the company. As of now we are not interested in your proposal in the e-mail trail below. 
320,AgreedToMeet,Thanks Mayur. Whats your number Kanishk 
1035,ConnectLater,I have already placed and working on my organization
1299,Deactivated, Thanks for reaching out.  Unfortunately Im not looking to change from my current role at this time.  All the best recruiting this role it looks like a very interesting position. 
2204,OutOfOffice,"I will be working offsite with limited access to emails. 
I will respond to your email as I am able. "
290,AgreedToMeet,Im looking for double occupancy room  me and my wife  best deal.  Please call me today at 8 pm on 8208258914.  ThanksRiddhish   
2390,OutOfOffice,I am out of the office and will respond to you on my return
1867,OutOfOffice,I am on leave returning on Monday  5th Octobert. For any urgent matters please contact Lydia Malley lmalley@energyinst.org
3478,SeekingMoreInfo,Please share the rates. Also look forward to a good discount please
500,ConnectLater,Thanks for follow up. At his moment we have covered our recruitment needs. Any way we would keep your data and contact and I make contact for any recruitment in the near future
55,AgreedToMeet,Yes I read over your message. It does sound interesting and Id be happy to have a follow-up conversation to learn more. My mobile number is 07967 356929. Ill usually have time to talk between 1 and 2pm during the week. 
1942,OutOfOffice,I will be on vacation on Friday 11. 6. 20. 
2229,OutOfOffice, I am out of the office and will respond to messages again Friday afternoon December 18th. Please text if urgent. 
1689,OutOfOffice,"I am on annual leave from 22/12 - 11/01. For urgent queries please text me 0477 011 082. 
"
1849,OutOfOffice,I am currently out of the office returning September 14th. Please allow a few hours for a response to emails and calls. For immediate assistance please call +1 330 562 1440. 
3631,SeekingMoreInfo,Can i just check how you got this email Conscious that are essentiallyheadhunting me for a job to my work email
1601,Deactivated,Our finance is outsourced
2823,ReferredSomeone,Guten TagAn den persxf6nlichen Postkasten gerichtete Nachrichten langen zwar dort ein werden aber nicht vor Mitte November bearbeitet.in dringenden Fxe4llen kontaktieren Sie bitte meine Kollegen der Betriebsfxfchrung unter post. lad1it. bf@noel. gv. at. Mit freundlichen GrxfcxdfenMario Schxf6pf
2986,ReferredSomeone,I am no longer working at United Green
3021,ReferredSomeone,Thank you for your message.  Please be advised that I am no longer at E2open.  Please reach out to your current account representative for any current needs or questions
1198,Deactivated,Im not IT
1554,Deactivated, Thank you for your email enquiry.  We are happy with our current suppliers however we would like to thank you for thinking of us. 
2137,OutOfOffice,I may be out of office
2891,ReferredSomeone,I am no longer at RMS.  If you are an existing vendor please contact the representative you were directed to. ThanksMita
27,AgreedToMeet,we would be very interested in having an interview of this could be arranged
1590,Deactivated,We are not interested in your services. 
1970,OutOfOffice,Thank you for your email. I am out of the business all day today and will only be checking emails periodically. If you have an urgent matter please call me on my mobile number 07778 268108 Thank you Kind  Carmena
545,ConnectLater,Appreciate you reaching out to us. Currently we are re-vamping our hiring process to focus on structured interviews interview plans and our own unique culture-focused principles we have. It is a lot. We want to succeed at the basics first and our pilot programs and documentation will most likely end in December 2021. Happy to speak with you then. 
631,ConnectLater, SnehalI will contact you to discuss further on this after I come back from my Jobat the end of this month
3173,SeekingMoreInfo,I am reaching out in reference to your email conversation with my colleagueOlivia regarding our digital marketing offerings SEOSMOPPC. As requested I have attached the seo audit report and a few keywordsuggestions for your review. :I would love to speak to you and tell you how we can leverage inboundmarketing and digital advertising to take your organization to the nextlevel. Can you look for a suitable time here : My Calendar
3283,SeekingMoreInfo,Thanks for your email. Can you please advise the salary band pension and bonus structure for this role
3267,SeekingMoreInfo,Thank you very much for your e-mail. FOR APPLICANTSTo process your application we are kindly asking you to create an application profile on our Departer Career Portal
1681,Deactivated,Kindly note that we do not wish to renew our account.   
3559,SeekingMoreInfo,Thanks for your email I would like to know how much i need to invest inorder to be eligible for this PR. 
46,AgreedToMeet,We would like to discuss further in this regard.  I am trying to contact you over phone but could not find your contact details.  Kindly revert with your contact number or call me tomorrow
2947,ReferredSomeone,"I am no longer with MTAP Technologies and unfortunately I can no longer answer your email. Please direct all future inquiries to Rakesh Reddy at rakesh. reddy@mtap.in ,rakesh. reddy@mtap.in. He will be happy to assist you"
648,ConnectLater,Thanks for wiring in. I sincerely hope you and your families are safe and healthy during these challenging times. Currently we do not require any SEO or performance eting agency. Having said that I will definitely reach out to you in future as soon as the need arises. 
3416,SeekingMoreInfo,Our offices are based in Melbourne and I noticed that you are based inNSW.  Do you have access the Melbourne based candidatesIf so I am happy to meet with you. 
3748,Unsubscribed,You have the wrong email.  
3108,ReferredSomeone,"You can connect with the Recruitment Manager Nikesh Kumar Phogat nikesh. phogat@sungardas.com , nikesh. phogat@sungardas.com he take care of Talent Acquisition in Sungard. "
3895,Unsubscribed,Please dont mail me again
1871,OutOfOffice,"Out of Office-July 10th to July 20th
I will be out of the office from July 10th to July 20th. I will reply to all non-urgent items upon my return. "
2431,OutOfOffice,"Absence Alert
I will be out of the office on vacation from August 24 returning August 31 with little access to cell and email service. If this is urgent please call in to 519-672-7620 and ask for Bev who will in turn redirect your inquiry. "
2838,ReferredSomeone,Thank you for your email Citra Health Solutions is now part of Cedar Gate Technologies
469,AgreedToMeet,Please let me know when we can connect for the further information. 
1602,Deactivated,I am not very keen on attending the Detox Program
1526,Deactivated,Thanks Recycling waste isnt something I wouldnt prefer to work on
2313,OutOfOffice,"Please note that I am out of the office and will be returning on Monday August 31st. 
"
1247,Deactivated,I am no longer employed with Family Health Center. 
3777,Unsubscribed,Thanks for your email but I do not have a need for your services. Please remove me from your mailing list. 
4007,Unsubscribed,Please remove me from this list Emma. ZB
1045,ConnectLater,I do not need any help as of now. I will get in touch with you when  I require. 
814,ConnectLater, Apologies for not getting back to you earlier. We currently are not looking for any Salesforce personnel at this moment however I will keep your email on file and reach out for any future recruitment needs 
3411,SeekingMoreInfo, Thanks for reaching out. Can you share the commercials over email
2023,OutOfOffice,"Out of office email message
 there I am way from the office until September 8 . 
If you have emailed a resume it will be forwarded to the appropriate recruiter and you will be contacted if we have any opportunities that are a potential fit for you. Best wishes for your career search
For all other inquires contact ciaran@goldbeck.com
Thank you"
1653,Deactivated,We do not manufacture 
809,ConnectLater, Many thanks for your email. Reading through your email of this role looks like to me that is a develop managers role although sometimes they also be named as a planning manager. They usually carry out the development phase project for consent preliminary and feasibilities studies surveys and initial design to bring the project to the FID Final Investment Decision when the project is granted committed budget to enter into the execution phase. I am the seniorlead planner who plan the project activities what will be doing at the different timeline from day 1 to handover to the OM Operation  Maintenance team as the core value of the project management. I use P6 for planning. If you have future leadsenior planners role please do get in touch. Good luck for your searching. 
386,AgreedToMeet,Can I request you to calender me for a talk tomorrow at 10am Thanks. 
511,ConnectLater,Thanks Siddharth. Looping in Anand.  
2720,ReferredSomeone,Thank you for your message. Crystal Ruocchio is no longer with Vocera however your message is very important to us and has been forwarded to the appropriate Vocera employee who will be in touch with you shortly. 
2030,OutOfOffice,"Thank you for your email. I will be out of office till 18-Dec. Please expect a delay in response

Rony"
938,ConnectLater,Am already checking in this Monday which is tomorrow and have signed up
1750,OutOfOffice,"Thank you for your email  but I am out of the office on PTO.  If your questionneed can wait I will be back in the office on Thursday morning October 7th.  If you need helpattention sooner than that please reach out to one of the people below.infrastructure including Help DeskAsset Management x96 Jim Apuyan,japuyan@evergreenhomeloans.comCybersecurity x96 Nathan Sandver,nsandver@evergreenhomeloans.comProject MgmtMortgage Technology x96 Nancy Kloser,nkloser@evergreenhomeloans.comIf none of those fit your questionneed then please reach out to Debbie Johnson,dljohnson@evergreenhomeloans.com. "
3349,SeekingMoreInfo,Pls send details contact per mail id and mobile No. Will discuss for suitability of our requirement. 
1809,OutOfOffice,Im out of the office until Monday 14th December and will have limited access to email. 
2714,ReferredSomeone,Joe Kulle is no longer employed with SolutionHealthElliot Health System. If you need additional assistance please contact Deb Dulac Debra. Dulac@SolutionHealth.org
3307,SeekingMoreInfo,  Thank you for the suggestion if experience then 15 to 20 or else less than 15k is our budget. Please suit accordingly.  Waiting for a positive response
3689,SeekingMoreInfo, Bit confused by the email. You have my reply. I was interested in the roleand will definitly talk to them if they consider my experience etc. to beworth talking to me. Let me know if I have misunderstood your query. 
1090,ConnectLater,Connecting you to the concerned person. Best 
2815,ReferredSomeone, Friene transitioned out of the leadership position for Immanuels salesmarketingcommunications team and into a new role in another organization. If youd like to stay in touch I invite you to do so via my email at: jknecht@chliving.orgFor all Immanuel related items please reach out to one of these stellar team members depending on your specific
171,AgreedToMeet,Please see below and it would be great to see you there. 
1934,OutOfOffice,Thank you for your email. I will be offline during the Thanskgiving long weekend. If your matter is urgent please text me at (872) 222-1302. Otherwise I will review your message and respond (if needed) upon my return work on Monday November 30
2924,ReferredSomeone,Thanks for your message. Please be aware this mailbox is no longer monitored.   Mail relating to RBSI activity should be sent direct to my RBSI account. 
1218,Deactivated,Thank you for your email. We already have a platform that we are using currently and not looking fora new solution. 
395,AgreedToMeet,In truth I havent played with wind for a long time and that was inScotland and Wales and no solar or battery but lots of experience in powerand structures. The switch gear ends up the same it is either mounting a panel on a frameor a battery on a plinth. I have lots of experience of moving large heavyitems and did alot of work on the transport of blades and towers. I am free every lunchtime. Andrew Wadman
790,ConnectLater,I appreciate your information regarding oil purification and conditioning. But we will shut down our operatins in coming year. So we wont be able to use this system to fully utilize it. But we can consider this system for future projects. 
3586,SeekingMoreInfo,Could you kindly share your pricing
902,ConnectLater,I have just recently moved to a company and will not be looking in the near future. Thank you for considering me
1262,Deactivated,. We do not hire nipal guys we are an IT company so we dont need workers. 
1826,OutOfOffice,I am away from the office from 20 Dec-3 Jan on PTO/holidays returning on 6 Jan. 
2959,ReferredSomeone,David is no longer with ision 5 please email Michael Parnell - mparnell@steelofcarolina.com
589,ConnectLater,Thank you for your email. However please be informed that we dont haveany hiring planned. Will contact you once there is something. 
892,ConnectLater,Thanks for your email and inquiry. The profile is not of interest but lets keep in touch if other opportunities arise in the future. 
1868,OutOfOffice,I am out of the office on a disconnected holiday break returning to the office on Monday January 6. I will reply to your message at that time. Happy holidays
1298,Deactivated,No thank youy
728,ConnectLater,Thanks. I will keep you in mind when we start our US expansion
989,ConnectLater,Ok noted. Thank you.
1928,OutOfOffice,"I will be out of the office Monday September 7 thru 11 returning September 14. For questions or urgent items please contact Amber Wilson at amber. wilson@abwtec.com or Dominic Carter at dominic. carter@abwtec.com. 
Thanks
Hayley"
1613,Deactivated,No we are not moving  to the cloud
1270,Deactivated,Thanks for reaching out but not for us. 
1343,Deactivated,were currently using an outbound team. I dont think this is a good time for us. BestIvan
1818,OutOfOffice,"I am currently out of the office returning Monday Nov 9th. I will return your message as soon as possible. Many thanks Francine
This e-mail message and any attachments contain confidential information. If you are not the intended recipient you are hereby notified that disclosure printing copying distribution or the taking of any action in reliance on the contents of this electronic information is strictly prohibited. If you have received this e-mail message in error please immediately notify the sender by reply message and then delete the electronic message and any attachments. "
472,AgreedToMeet, The number mentioned by you is correct Abdul could reach out on this number. 
1423,Deactivated, not interested thanks
4028,Unsubscribed,Wrong email. Please remove me from your mailing list. 
4005,Unsubscribed,I dont have any experience in heating or pipe work I work for main contractor. Please remove me from your distribution
2785,ReferredSomeone,Thank you for reaching out. This inbox is no longer being monitored. For immediate assistance please email SUPPORT@staffing-the-universe.com or call 732-390-7100 and ask to speak with the appropriate party. If you have a payroll issue please email PAYROLL. QUESTIONS@staffing-the-universe.com. 
2979,ReferredSomeone,I have recently left Capco and this mailbox is not monitored. For all queries with 
2437,OutOfOffice,I am on vacation. I will return to the office 8th April 2021.in case of urgent inquiries pls approach the GLOBE project office ext -2125. 
3572,SeekingMoreInfo,How did you source our emailWe are looking for some external CFO services but this is for complex work- primarily fund raising and valuation work for technology services andproducts. Also for tax planning across countries. If your firm has strong expertise in this then we can have a video call.in this case I would like to have an initial call with someone who is veryfamiliar with this space. To give you an introduction to us - Pegasus InfoCorp is an I. T. servicesfirm with 400 employees. We also have some products in the B2B SaaS space. We are looking to raise money in India or internationally in a fewcountries and need strong CFO services from someone whos already donethis for other firms. We need someone who is well aware of how such dealsare structured and can assist with the same. 
1830,OutOfOffice,"I am out of the office and will be back at the desk on Mon Jan 4. 
I'll get back to you as soon as possible latest upon my return. 
Thanks a lot and "
479,AgreedToMeet,will discuss next week
3197,SeekingMoreInfo,Didnt understand can you please share simple presentation
124,AgreedToMeet,Ya I learn this programm
1352,Deactivated,Were not interested at this time. 
2493,OutOfOffice,I will be out of office tomorrow 12/11 and Monday 12/14 returning Tuesday 12/15. 
3626,SeekingMoreInfo,Please get in touch with our HR department . You can find the email addresson the schools website. Thanks
3462,SeekingMoreInfo,Apologies for having missed your mail. Could you please help me with the commercials for the programme
1005,ConnectLater,this id has change. 
2704,ReferredSomeone,Stephan is no longer with iSTOX. For assistance please contact christianfischer@istox.com
3804,Unsubscribed,Unsubscribe pls 
3583,SeekingMoreInfo,Earlier I had put an enquiry regarding oil analysis kit for testingmoisture  contamination wear particles dust and viscosity. I didnt get answer from your side. If possible PL send the details and quotation for the same. 
94,AgreedToMeet,Sure. Whats your no 
277,AgreedToMeet,pls visit my ensydes website for details
2323,OutOfOffice,Thank you for your email. I'm out of the office Wednesday November 11 2021 returning on Monday November 16 2021. 
2819,ReferredSomeone,Nates email address isnathan. redmond@tsasafety.com
1117,Deactivated,Thank you. Im not interested at this time
3420,SeekingMoreInfo,Yes will work 15 days or less notice should work. Also anytng that you have on Devops with Terraform on Bench thathis another burning need for me. I have attached the JDs I understand Arctect will be difficult to get on contract but even if you get me the Lead will be of help. Details shared below please call me if you need any more clarity     Mandatory Skills: AWS Terraform  Kubernetes hands-on is mandatory alongwith the other skills mentioned in the JDwith good or very good communications skills as this will have a client round.  Else please dont share the profiles if anytng is missing from this.     Budget: Im sharing our max annual budgethis you will need to give me the per month quotation accordingly to match those figures. Lead: 20 to 22 lacs can go upto 23-25 lacs if the candidate fithis the Assoc. Arctect level wch is the next levelArctect: 28 to 33 lacs can go upto 35 lacs for really good candidates     Contract duration: Need for the minimum contract duration you are fine with pot wch we would want to convert them on rolls.     Location of the project. Is it WFH: Currently WFH till the Covid Situation normalises but post that will be either Bengaluru or Mumbai so need to comfortable with that. 
2801,ReferredSomeone,I have included our HR manager here.  She will be handling continuingeducation
1897,OutOfOffice,I am currently out of the office. Otherwise I will attend to your email on my return. 
529,ConnectLater,Thanks  for a sending  mail our contact with u shortly. 
3966,Unsubscribed,Please remove me from your mailing list. 
2031,OutOfOffice,Thank you for your email. I am currently out of the office with limited access to email. I'll respond to your message as soon as possible. 
1828,OutOfOffice,Thank you for your email. I am traveling for business. Please expect delayed response. If your query is genuinely urgent please text me. Otherwise I will respond at my return. 
3529,SeekingMoreInfo,I am looking for a job to do work from home. . . . let me know if u have anyopportunity
2992,ReferredSomeone,Thank you for your email. I have recently finished up with Cancer Council NSW and Nicole Cole will be Acting Director People  Communications. Please re-direct your email to her at nicolec@nswcc.org. au or 9334 1969 
952,ConnectLater,thank you for following up with me. Unfortunately I wont be able toinvest this amount at present.in the future if I require it I willdefinitely contact you. 
2827,ReferredSomeone,STOP. Please note that I am no longer working for HL Ironworks CorpShould you need any further assistance please contact the office at hlironworks@hlironworks.com or call 646-882-0328
3075,ReferredSomeone,Effective July 20th  I am no longer with Mauser Packaging Solutions. Please refer to the contacts below if you need immediate assistance. Salesforce.com - Contact the team at SalesforceHelp@mauserpackaging.com
794,ConnectLater, Thanks for your email as of now we are not looking for any RecruitmentServices. 
3624,SeekingMoreInfo,Please share the rate card for below mentioned services
2782,ReferredSomeone,Thank you for your email. I am no longer with PreEmptive. You can contact me at my personal email or phone. For PreEmptive related matters please see: 
3937,Unsubscribed,Please remove me from your list. 
842,ConnectLater,"Thank you for your emailDuring this unprecedented time our response to your queries may take a little longer than usual please do bear with usIf you are a client please contact us on client@eliteassociates. co. uk , client@eliteassociates. co. ukIf you are a candidate or have any other query please contact us on info@eliteassociates. co. uk , info@eliteassociates. co. ukWe will aim to respond to you ASAPIn the meantimeStay Safe  Stay WellThe Elite Associates Teams"
3936,Unsubscribed,Kindly remove me from this speculative e mailing list. 
410,AgreedToMeet, 8:30 will be fine by me. Please go ahead and plan. 
3088,ReferredSomeone,Thank you for reaching out. I am connecting you with Mr. Hasib Rehman whooversees are Human Resources department request you to schedule some timewith him to go over the services. BestAshu
122,AgreedToMeet,What are the services you offer Call me tomorrow on the below number please. 
3545,SeekingMoreInfo,Please share your contact details  let me know whether you have services in Daman
3663,SeekingMoreInfo,Sorry didnt see ur earlier emails. 1 Age of travellers -482 Health Objective - gh BP  Anxiety Lower Back pain. 3 Underlying health conditions - Breathlessness Low B12. 
619,ConnectLater,In case of any requirement will revert. 
2956,ReferredSomeone, I am not the right person to take content discussions ahead.in my earliermail I had mentioned the people who are involved. Have you connected with themPlease get in touch with the iniduals mentioned in my mail to takethis forward. 
3076,ReferredSomeone,I am no longer at Birchbox. Please direct all communication to JayHack jay. hack@birchbox.com. Thank youDave-- David BendesBirchbox  VP Global Business Technology
3511,SeekingMoreInfo,As discussed with you please find attached the google drive link for theneeded documents. 
