,Category,Response_preprocessed
1354,Deactivated,"NO Interest, we are a trucking company, nothing to do with the price of metals"
2649,OutOfOffice,"Thank you for your email. I am currently out of the office with limited access to email, returning Monday, June 22nd."
1330,Deactivated,"Thanks, Rachel, but I am practically retired and only
still keep a bit of an eye on
bulk scrap int‚Äòl."
3011,OutOfOffice,Ill be back on Tuesday June 1.  If your request is urgent calltext me at 415.336.4415.
2531,AgreedToMeet,"Sure Monika, can we connect tomorrow?"
2553,SeekingMoreInfo,send me the brochure.
1771,OutOfOffice,"I will be out of the office until Jan 4th 2021, as such my response may be delayed. In an emergency you can reach me at my cell # listed below, otherwise I will reply as soon as possible upon my return."
903,OutOfOffice,"I am now away from the office until Monday 21st September. If you require assistance before then, please email Jeanette Wharrad: jeanette@prestigeltd.co.uk"
1517,Unsubscribed,please stop sending emails. they are not relevant to me.
1141,SeekingMoreInfo,Please let me know if you got time to discuss with your team?
2352,ConnectLater,"Thank you for your mail.
We already know the your company minimac from long time and also purchase
unit when i am in india
Now Plant commission is dealy by mid of 2021. so we will be inform you in
advance as per requirement
thank for your corporation"
1435,ConnectLater,"Many thanks for your email.
Our booking co-ordinators will deal with your request."
2978,OutOfOffice,Out Of Office Please be advised that I will be out of the office Wednesday March 10 and returning Thursday March 11.If this is an urgent matter please text me at 780.686.3890
1632,OutOfOffice,"I am not in the office untill August 21st. I will get back to you as soon as possible after my return. In urgent cases, please contact my colleague Sascha Assmann, +49 711 310584 24 (assmann@division-one.com).
Kind regards,"
2138,OutOfOffice,"Thank you for your email. I am currently off enjoying the holiday break. Rest assured, I will respond when I return to the office on 1/3."
1250,OutOfOffice,Greetings! I am on leave till 10th September 2019 with very limited access to emails. Kindly bear with me.
2516,Unsubscribed,WRONG EMAIL
552,Unsubscribed,"Deborah Trybus IS NO LONGER AN EMPLOYEE of George Apkin & Sons,Inc. Please remove dg@apkin.com from all email regarding Apkin.Thank You"
2031,OutOfOffice,I am on leave Friday 16th October.
828,Deactivated,"Thanks for writing in.
We have already closed the vendor empanelment process for 2020-21.
Rgds"
197,SeekingMoreInfo,"Can you brief me what is it regarding and how was my email I'd passed to you ?
Thanks,
Chetan"
1646,OutOfOffice,"I am out of office and will be back on December 29, so please expect a delay in my replies."
2907,OutOfOffice,I am currently out of the office.
2987,SeekingMoreInfo,Please provide more details.
2168,ReferredSomeone,"We thank you for reaching out.
Our organization, through Corporate IT, has already chosen a partner for RPA and working with them currently.
Just for reference, I shall forward your email to them, so in case IT team is interested, they can reach out to you."
1143,OutOfOffice,"Hello ‚Äì I am out of the office for the holidays so email replies will be delayed. My laptop and I are spending some time apart during this lovely season, so if you need something urgently, you can text me at 917 797 5904. Otherwise, I look forward to connecting with you in the new year. Happy holidays!!"
1815,OutOfOffice,"I am currently out of the office until Tuesday, September 15."
2629,OutOfOffice,I am out of the office
1165,OutOfOffice,"Thank you for your email. I currently work Mondays and Tuesdays and will reply to your email then. For anything urgent, please call me on 0410 707 509.
Thanks
Sarah."
1026,OutOfOffice,Thank you for your message. I will be out of the office until and including 18.11.2019 and will respond to your message on my return. Please note that your email will not be forwarded.
2384,OutOfOffice,I am currently out of office. There will be a delay in my response.
2805,Unsubscribed,Please I am not interested.
602,AgreedToMeet,"Thank you for quick response.
Yes, sure. We can discuss further on this.
Can we have a call by tomorrow noon? Or suggest the time convenient for you.
Thanks"
386,OutOfOffice,"I am on leave on this Friday, 12th Nov 20 and will resume the work on 17th Nov, Tues. will revert as soon as possible.
Regards,
Balaji Kamaraj"
2583,Deactivated,"Thanks for the details, however we do not have any requirements at
the moment."
3027,AgreedToMeet,Yes I received your emails on this thank you.  I dont have any particular queries arising from the information that you sent or from the information on your website which is very comprehensive but we can have a conversation if you like.  How about 30-45 mins during wb 2 August
1335,ConnectLater,"I am sorry for late reply & appreciate your persistence üëçüèª
Let's connect early next week.
Regards,"
2814,OutOfOffice,"I will be out of the office/offline on medical leave through Sunday, 7/19. If you need immediate assistance please contact Joanna Cordero."
804,OutOfOffice,"I am on leave and will be back on the 6th Jan 2021. For anything urgent, please text me on 0431616013. In my absence please contact Annie Ngo on 04333102058.
Charles"
952,Deactivated,"Thanks for the email and follow up ‚Äì sorry for not responding. All recruitment is done via the government careers website, it would be vary rare for me to engage with a vendor to fill a role, with fixed term roles we go via the government panel.
I don‚Äôt have anything at the moment but again thanks for reaching out.
Many thanks ‚Äì have a great festive season & stay safe
Rosa Costanzo"
492,Deactivated,"We are all set for now. Sorry for not responding more quickly.
Thanks."
2668,OutOfOffice,"I am currently out of the office with very limited access to email returning Monday, September 21st. I will respond to your email as soon as I can."
696,SeekingMoreInfo,"Thanks for your message. United Therapeutics does not run diagnostics labs so I am not sure that this specific application of dt. would be of help to us.
Cheers,"
340,OutOfOffice,"I am out of the office, 11/25-11/29 Please contact us one team for Deloitte Facilities for assistance"
2935,Unsubscribed,"Please remove me from
Your mailing list"
2998,ConnectLater,Thank you for your interest but I am satisfactorily employed at the moment.I dont wish to waste anybodys time but will keep you on mind for any future needs.
165,Deactivated,"Appreciate you taking the time out and writing to me. At this point there
is a hiring freeze due to the COVID situation and hence no mandates will be
shared with your team.
I want to wish you and your entire team a Happy New Year which will be full
of success and joy.
Kind regards,"
2249,Unsubscribed,stop
3127,SeekingMoreInfo,Im Interested.
2177,OutOfOffice,"I will be on PTO on 16th, 17th and 18th December and followed by Saturday & Sunday hence responses will be delayed."
1767,Unsubscribed,"I‚Äôm sorry to tell you this but Tommy fell down the well and we are going to have to close the business, I don‚Äôt think we will be able to sell any vegetarian butcher products anymore.
It could have been so wonderful I am distraught, how can we fix this and sell stuff like OMG so not cool.
Bye"
484,Deactivated,Please remove me from all mailing lists
2941,Deactivated,No please. Thanks.
2691,OutOfOffice,"Thank you for your email.
I'm currently traveling back in the office on Thursday, May 16th. Responses may be delayed.
For urgent matters, please text me.
Thank you."
1599,OutOfOffice,"Hello - I am currently out of the office today. If you need immediate assistance, please email osc-mgt@byu.edu or contact Sherwin Harris at 2-9322 or Jason Renfro at 2-8020. Thank you and have a great day! Mark Morrell Director of Customer Service and Support BYU Office of IT"
2684,OutOfOffice,"Thank you for your email. I am currently out of the office with limited access to email, returning Monday, June 22nd."
154,SeekingMoreInfo,"I am looking for some bisuness opportunity and some work from home opportunity with reason of this Covid situation.
Here I add my contact no, if u have some work from home activies, then contact me.
Thank You,"
2505,OutOfOffice,"Thank you for your email, CCAH is closed for the 4th of July holiday.
If it's an emergency, please reply all and indicate that in the subject line and Cc members of my team (Susie, Luke, Van, Nathan or Sean) for expedidated response times. Otherwise, I'll get back to you on Monday.
Thank you for your patience.
Best,
Brenna"
591,ConnectLater,"Thank you for the information. At the moment due to COVID unable to travel.
Next year, fingers crossed.
Regards."
2276,OutOfOffice,I am currently on Annual Leave and will return on Monday 11th January 2021.
2218,ConnectLater,"As per your trailing mail i have gone through your quotations, but i am
pleased to tell you that we are already using oil purification units
supplied by your company. In future, if there is any need we will contact
you for sure."
378,AgreedToMeet,"Noted with thanks
Regards,"
1027,OutOfOffice,I am out of office.
2591,Unsubscribed,"I have no idea how I've come into your list.
But there is no relevance in your e-mails to me at all.
Can you remove me from your maillist please."
2485,SeekingMoreInfo,"Good morning
We would like to confirm our interest to learn and develop our cooperation in oil purification and conditioning sector in our area.please provide us more detail"
3098,Unsubscribed,Please note that i am not longer interested in your offerings.Remove my email-Address from your addressbook or distribution list.Thank you very much
66,OutOfOffice,"I am currently out of the office. I will respond to all emails when I return.
Thank you"
118,SeekingMoreInfo,"Thanks for reply .
Do let us know if we can add some value added service from our site like campus recruitment free of cost .
You can hire the screen intern from us free of cost ."
2,ReferredSomeone,"Donovan is no longer with Inspire-Tech with effect from 11 Aug 2020. For finance matters, please contact accounts@inspire-tech.com."
2183,ConnectLater,"we have received your mail, will get back to you very soon, We value your time and understand importance of your work.
Sorry for any inconvinience caused."
2374,OutOfOffice,I am currently on maternity leave.
2240,OutOfOffice,Thank you for your email. I am out of office and have limited email access. I will respond to you after I return on Dec 2.
2980,ConnectLater,  Your message about Preshita V with Talentcorner HR Services  following up: Talent Corner HR Services Franchise Opportunity4253443475420 was waitlisted.  Please add yourself to my Guest List so your messages will be delivered to my Inbox. 
411,ConnectLater,"Thanks for reaching out repeatedly. Unfortunately, at the point I am in my current project, we aren‚Äôt needing what you offer. Can you reach back out in the February timeframe?
-Aaron"
3150,OutOfOffice,I will be out of the office until Monday July 19 2021 but will bechecking emailperiodically. I will respond to non-urgent emails when I return.-- Sandra KeytonVice President Human ResourcesWebsite Your message cannot be delivered
1812,Deactivated,"I am not the concerned person for this.
Please reach out to the concerned person."
3081,AgreedToMeet,I hope you are doing well. Just a quick note to bubble this up in your inbox.We look forward to connecting.
1393,OutOfOffice,"Thank you for your message, please note I am on annual leave until 14th January 2021.I will be back at work on Thursday 14th of January and will attend to your email at that time."
837,Unsubscribed,"Remove me from your mailing list
Thanks,"
249,AgreedToMeet,I tried calling you. You didn‚Äôt respond to my texts or calls. Let me know if you guys are interested.
1409,OutOfOffice,I am out of the office this afternoon with limited acces to email. I shall respond to your message when I return to work on Monday.
2019,OutOfOffice,"I am on leave and will resume office on 21-Dec-20.
I shall have limited access of emails."
1689,ConnectLater,Thank you for writing to us. We will respond to you shortly.
532,OutOfOffice,"I am currently out of the office on maternity leave and do not have access to phones or emails.
If you need immediate assistance, please contact Tiffani Clark at Tiffani.Clark@altertrading.com
Thank you!"
1514,OutOfOffice,"Thank you for your mail. I am currently out of the office.
I will be available again at 11.01.2021"
1733,SeekingMoreInfo,Thanks so much Manish. What‚Äôs your number Gurjit?
271,ConnectLater,"Thank you for your interest in Language Matters career opportunities. We have received your email and want you to know that your application has been received safely and will be reviewed against our current opportunities.
We aim to update you within one week but this can be longer depending on volumes - please bear with us, your application is important to us."
343,Deactivated,I don‚Äôt need any assistance for now
277,OutOfOffice,I will be out of the office from 01-Dec-2020 to 26-Dec-2020. If you need immediate assistance during my absence please contact
465,AgreedToMeet,"Thank you for writing us back.
We can surely connect with you over a call on Monday.
Regards,"
1329,OutOfOffice,"Hi, Thank you for the mail. I am out of office and will not be accessing my emails. Regards, Rekha Srivatsa"
573,OutOfOffice,"I'm on halfday leave on 24th July followed by the weekend.
Please text / call me on 8411817979 for any urgent matters.
Please refer to the HRSD chat if you have any general questions .
Regards,
Caroline"
279,OutOfOffice,"I'm out of the office. If you are a journalist working on immediate deadline, please contact Rachel Stand at Rachel.Stand@hkstrategies.com.
Otherwise, I will reply to you when I am back online. Be well and talk soon.
Regards,
Chris"
2769,AgreedToMeet,Works for me.
367,ConnectLater,"Thank you for your mail.
I'm away on site visit.
Will reply as soon as I get back.
Regards,
aashish G. raheja"
22,Deactivated,"Thank you for the mail, at present we've slowed down on our manpower
requirement due to lockdown situation and at present don't have any
business opportunity to offer you, but sure once we resume with our full
business operations as before lockdown, we shall definitely be in
communication with you for any business opportunities."
759,OutOfOffice,"Thank you for your e-mail. I am currently out of the office on PTO. I will be back on Wednesday, November 4th.
Thank you and stay safe!"
3152,ReferredSomeone,I have now left TfGM. Please contact Jacquelline Elliott jacqueline.elliott@tfgm.com for assistance.
835,OutOfOffice,"I am on leave till 3rd of Jan, 2020.
Best regards,"
85,Deactivated,"Sorry Shikha - way too busy and not interested.
Best of luck to you."
844,OutOfOffice,"I am on leave from 4th March to 27th March. I do not have any access to email or phone. Request you to reach aarti.amin@ogilvy.com for recruitment & internship related queries and jeniffer.daruvala@ogilvy.com for any other queries in my absence
Regards,"
2131,ConnectLater,"Thanks for reaching out.
Please note, we are currently in a lockdown in the State of Victoria, Australia. Accordingly, all our current business ventures are on hold."
2134,OutOfOffice,"I am out of the office on a disconnected holiday break, returning to the office on Monday, January 6. I will reply to your message at that time. Happy holidays!"
2813,OutOfOffice,I am out of the office through 1/3/2020 and will respond to your message when I return.
1722,OutOfOffice,Thank you for your email. I will be on a planned personal leave from 24th to 25th Sept.
1015,AgreedToMeet,"Nice to get connected. I am in AI based Sales and Biz Dev tools. Creation
of them, integrating them, making business happen.
Lets connect and explore more. Let me know a good time."
3022,OutOfOffice,I will be on leave on 8th and 9th July. I will respond to you once I return to work.
1140,Unsubscribed,STOP SENDING US SPAM
2414,OutOfOffice,Have a lovely holiday break. I'm on annual leave now and will respond when I return.
1058,OutOfOffice,Thanks for your note. I am currently taking personal time off with family and shall resume office on 2nd Dec 2019. Please expect delayed response.
352,ConnectLater,"Thank you for your email. If you are using the info@ address for job applications, please note we have received your details successfully. Further note you will only be further contacted by one of our consultants if your details and experience fit our current live requirements. We thank you for your application and interest in ConsultANZ."
2740,OutOfOffice,Thank you for your email. I'm currently out of the office on annual leave until 4th January 2021. I'll respond upon my return.
1661,Deactivated,"Thanks for reaching out.
However, I‚Äôm not the contact person for this here.
Sorry about that."
7,OutOfOffice,"I will be on maternity leave effective June 28, 2019. Please contact Stacey Cameron in my absence. For immediate assistance, please call 780-452-6655."
2326,ReferredSomeone,"Kindly forward your emails to amandeep@way-2-india.com
Thanks
Tech Team Way2India"
2194,ConnectLater,"please stop emailing our colleague Tom Eng.
If we need support in recruiting we will get in touch with you.
Thank you & kind Regards,
TOMRA Recruiting."
1508,OutOfOffice,"Hi, Thanks for writing in. I'm currently on business travel. There may therefore be a delay in my response to emails. Kindly send me a text msg for all urgent matters. Regards, Amar 99808 65166"
1866,OutOfOffice,"Hello, and thank you for reaching out.
I'm out of the office for the weekend and will return Monday, 11/16, in the afternoon.
I look forward to connecting soon."
1448,SeekingMoreInfo,I am interested for optometrist vacancy if you have vacancy for optometrist
1195,Deactivated,"I already had a call with Vijay Roy. Not interested
Thanks"
1650,ReferredSomeone,"Please contact Marc Nichols for all future inquiries. I will not have access to respond to email or voicemail moving forward.
Warm Regards,"
2842,OutOfOffice,"Thanks for your email.
I am on annual leave for Easter Break, returning Monday 20 April. If there's anything you need my help with sooner, feel free to call me on the mobile. I will also be checking emails periodically."
2786,OutOfOffice,I will be out of the office November 24 - 27th. I will respond once I am back in the office.
3163,ConnectLater,Sure I will let you know.
235,OutOfOffice,"I will be out of the office until Monday, September 14th. Please feel free to leave me a message and I will try to get back to you as quickly as possible.
Thank you,
CV"
1851,SeekingMoreInfo,"May be we can have a short call sometime end of this week to understand what you are oferring?
Can you schedule the call?"
1144,Unsubscribed,"Please unsubscribe me form your mailing list,"
1688,OutOfOffice,"Thank you for your email.
I am currently out of the office with no access to emails. My job share colleague Shelley Carr works Wednesday to Friday and will respond as soon as she can."
949,ConnectLater,"Joey no longer with the company, I had forward this training programme to finance department. Will get back to you if receive response from finance.
Thanks & Regards,
Jassy Chan (JC)"
2119,OutOfOffice,"I will be out of the office today with limited access to my email. Please reach out to Anne Lachance for assistance, thank you!"
2182,Deactivated,We are marketing firm. We don‚Äôt deal in any materials.
538,Unsubscribed,Dont call me again
2678,Unsubscribed,Please take me off your mailing list
1068,SeekingMoreInfo,What you require ????
2150,OutOfOffice,Thanks for your email. I am out of the office at an offsite meeting today. Please note that responses to emails may be delayed.
1888,SeekingMoreInfo,"What is percentage of charges per month ?
My property is in Pune."
2648,SeekingMoreInfo,"Our cement plant is located in UAE. Will you be able to provide service
Thanks"
2965,ConnectLater, in UAE  GCC ME and MEA  the market has just startedopening up we would wait till the end of Q2 -2021 and take our final callon few add ons which we want only starting July 2021 not before that. Be intouch all the Best 
1338,ConnectLater,"Sorry for late reply due to personal reasons I am available tomorrow. You
can call me for your convenience.
Regards,"
1833,SeekingMoreInfo,"No problem, Thursday morning at 10 my time or Monday same time?"
405,ConnectLater,"Thank you for contact us, We will get back to you soon."
2867,OutOfOffice,"I will be out of the office Friday September 25th and will be returning October 5th. I will respond upon my return or if immediate assistance is needed contact Client Support.
Thanks!"
2688,ReferredSomeone,Thank you for your email. Connecting you to Dinesh Mishra who leads Talent Acquisition for all Abbott businesses in India. He will be the right contact for a discussion with you on hiring services.
763,SeekingMoreInfo,"Not sure, if I have received any message?
Can you confirm the call about what?"
1597,OutOfOffice,"Thank you for your email.
I am on Annual Leave 24 December returning Monday 18 January 2021. During this period the Melbourne Salesforce Operations team returns 4 January 2021."
1108,Deactivated,"Our construction unit is under shut down since 22nd March, 2020. We unable read all mails during this period. Moreover, we don't require any spares at this moment as our plant is under construction."
1246,Unsubscribed,pls don't send mails ... I am not interested at the moment.
1930,ConnectLater,Thank you for your email. At the moment we don't have any content development requirement.
201,Deactivated,"Please remove me from your mailing list. Thank you.
Best regards,"
871,ConnectLater,"Thank you for your email. I'm in meetings all day today with limited access to emails. If your email is urgent, please call the office on 0330 223 5253."
2969,ConnectLater,Thanks for sending over candidate details.We currently have no open vacancies.Denise HicksDirector - Refinery Human ResourcesHuman Resources DepartmentValero Energy LtdPembroke PlantPembrokeshire UK.  SA71 5SJTel: 44 1646 649709Fax: 44 1646 641187Mobile: 07774 211101Denise.Hicks@valero.commailto:Denise.Hicks@valero.comValero Energy Ltd Registered in England and Wales Reg number: 8566216 Registered Office: 27th Floor 1 Canada Square Canary Wharf London E14 5AA
2454,Deactivated,"Hi Sakshi, thanks for your email but I'm not interested."
1743,OutOfOffice,"I will be out of office tomorrow 12/11 and Monday 12/14, returning Tuesday 12/15."
2748,AgreedToMeet,Sounds like a plan. Lets meet tomorrow.
1221,OutOfOffice,"I will be out of the office until 9/8/20. I will be checking emails on a limited basis. If your need is urgent, please call your branch office (Bala: 610-660-8020, Cherry Hill: 856-773-5800, Tysons Corner 703-918-9880).
Best regards,
Seth"
975,AgreedToMeet,sure
888,ConnectLater,Not able to respond due to covid 19 lock down. Will revert once lockdown period completed
951,OutOfOffice,"I'll be away 6/3 - 6/5, returning to office on Monday 6/8 with no access to email. Please expect a delay in my response.
Thanks,
Joe"
2284,ConnectLater,"Thanks for the follow up.
I am also chasing for possession of one property and trying to sell other one.
I will let you know how it goes and reach out to you for help accordingly."
1152,OutOfOffice,Hello! I am out of the office and returning January 2. I will return your message at my first opportunity.
3066,ConnectLater, didnt see your first email come in as I think it ended up in my spam folder.  Unfortunately I am currently at capacity right now with other searches and this position is not the type of role that I typically hire for either unfortunately.All the best.  Thanks for thinking of meTracyTracy MuxlowExecutive Headhunter Founder905-713-4554  tracy@talentinnovation.comwww.talentinnovation
2118,OutOfOffice,"I will be out of the office during the afternoon of Friday, September 11. I will have limited access to email.
Otherwise, I will be back to you as soon as I am available.
Thank you for writing. Have a good weekend.
Best,"
632,ConnectLater,"Will connect in case we need help, thanks.
Regards,
Pranay Prakash"
3104,OutOfOffice,I am on vacation and will be back in the office August 9th.If urgent please call 46 705 305154
2382,ConnectLater,"I am sorry that we are currently busy right now.
Appreciate if you can wait for our call if we seriously need your service
in the near future."
2370,Deactivated,"Thanks for reaching out.
We are not interested at this time."
2910,OutOfOffice,"I will be out of the office Until Monday October 19, 2020 with limited access to emails."
885,Deactivated,"Unfortunately I don‚Äôt live in the area you stated in the description I live in Derbyshire
Cheers
Stuart Mayer"
1098,OutOfOffice,I may be out of office
2223,OutOfOffice,"Dear Sender, Thank you for your message.
I'm off without mail access for Easter Public holidays. Will reply upon my return on Tuesday April 14th.
Best regards,
Luca"
141,Unsubscribed,"This is an automated system notice to inform you that the person you are attempting to reach is no longer employed by COOK Medical Incorporated.
If this correspondence was sent in the interest of conducting business with COOK Medical Incorporated, please feel free to contact Johnny Leblanc instead"
1940,AgreedToMeet,"Yes, I am interested. can you tell me the charges for the same."
815,OutOfOffice,"I am currently out of the office on PTO until Monday Nov 25th. If this is an emergency please call 2222 for or leave a message and I will respond at my earliest opportunity.
Thank you"
1090,ReferredSomeone,"Shilpa from HR, heads recruitment. She will the right person to help you."
81,SeekingMoreInfo,Thanks
155,ReferredSomeone,"THIS IS AN OUT OF OFFICE NOTIFICATION - I am currently OOO with limited access to my email or phone until 9/14. Please re-direct your inquiries to nationalaccounts@protolabs.com or call (763-479-3680) for a faster response time.
Thank you!"
1040,Deactivated,"No services needed at present.
Thanks"
945,OutOfOffice,"I am out of the office and will be back on the 9th of November.
For other urgent matters you can contact a colleague at Ad Rem on +32 56 521 380
Best regards,"
3090,OutOfOffice,I am out of office through the end of the week. I will not be checking email regularly while Ix92m out. My reply will be delayed or possibly after I return.Thank youMyleeMylee VignessSnap FinanceSVP Head of InnovationEmail: mvigness@snapfinance.com
2601,ConnectLater,"Thank you for your mail.
Will revert when ready !"
1850,SeekingMoreInfo,"Did you get a chance to go through above details.If you want more info,a
call will be quicker."
3069,OutOfOffice,I will be out of the office from Monday 517 - Friday 521. In my absence please reach out to Rich Ward EVP World Wide Sales or for services related issues please reach out to James Gahan Director of Technical Services.Their emails:richard.ward@keysight.commailto:richard.ward@keysight.comjames.gahan@keysight.commailto:james.gahan@keysight.com
1801,OutOfOffice,"I am currently out of the office and will return Monday, November 25th."
183,OutOfOffice,"I will be out of the office on vacation Friday September 11th and will return to the office on Monday September 14th. I will have limited email and phone access during this time. If you need immediate assistance please call the office at 210.227.3141.
Thanks,"
610,OutOfOffice,"Hello, I am on a part time schedule until end of June 2020. My working days are Monday, Tuesday and Thursday. I will respond to your enquiry as soon as possible on my next working day. Regards Melanie"
617,OutOfOffice,"Thanks for your email. I am on leave and my response will be delayed.
Regards, Daphne"
880,ConnectLater,"Thank you for your emails and my apologies for the delay in reply.
As you may be aware, everyone is kind of preoccupied in dealing with this pandemic.
At the moment, we have a satisfactory payroll system in place. I shall keep Alchemy in mind should we decide to explore other options in the future.
Have a good day.
Regards,
Tracy"
2353,Unsubscribed,Stop Spamming.
1228,OutOfOffice,"Thank you for your email. I am currently taking some time out for R&R after the past 3 chaotic months.
Yours in wine & smiles"
44,ConnectLater,"Thanks for your mail!
Month ago we already had a meeting with your team and they explained the range of services and products your organization is offering. For any future requirement in this field, we will contact you."
318,SeekingMoreInfo,"Can you please help with me the investment cost and partner income or share.
Thank you,
Rajesh Pandhare."
1886,OutOfOffice,"Thank you for your email. I‚Äôm currently out of country, and will have very limited access or no access to emails/phone."
160,OutOfOffice,"Hello, thanks for your email!
I am out of office, returning Monday July 20th. During this time, responses may be delayed."
1830,ConnectLater,"My official email I'd is braj@sterlingwilson.com. kindly send email on
this as I occasionally use gmail.
Order is still open and on hold due to covid issues.
Will definitely call your before finalization."
361,Unsubscribed,"I am Not interested, I had also intimated you on your message on Whatsapp.
Please remove me for the mailing and whatsapp broadcast list.
Regards, Shantanu"
1075,OutOfOffice,"I am out of the office September 4th and will not have access to
emails."
3019,SeekingMoreInfo,Thankyou for keeping me in mind for the role however as you are aware andcan clearly see with this position the pay structure has has alteredsignificantly with IR35.What would have usually been a position of around 5 to 600 per day ltd cois now a 50k a year salary.This is a gap to far to bridge nowadays the take home pay no longerjustifies working away from home.Sadly I feel this is now the new norm and companies are going to expectthe same service from guys like me for half the salary.For me it is far easier to work consultancy earning more staying out ofIR35 and sleeping in my own bed In short these clients are no longer prepared to pay the going rate forguys like me any more this doesnt leave us any alternative other than tofind other revenue streams to suit the experience and qualifications.Infact this role is a perfect example I dare say on 10 hour days workingwith a Saturday the standby fire Watcher and fork lift driver would be onmore earnings than the PM......I would be interested in your thoughts.
94,Deactivated,Sorry Ma'am we are very busy here....Thanks for your kind invitation.
2845,OutOfOffice,"I am currently out of the office, returning on January 13, 2020."
3092,OutOfOffice, I am currently on vacation with no access to emails and returning on 12th of July.For anything urgent you can call my mobile: 359882993707DXC Technology Company -- This message is transmitted to you by or on behalf of DXC Technology Company or one of its affiliates. It is intended exclusively for the addressee. The substance of this message along with any attachments may contain proprietary 
1279,ConnectLater,"Thank you for your mail,at present we don't have requirements,in future will contact you"
333,OutOfOffice,"I am OOO on 3rd July without access of emails. I will be available on 6th July.
Kind Regards
Neha"
3064,OutOfOffice,I am currently out of the office but will return on Tuesday June 8.  I will  reply to you upon my return
458,SeekingMoreInfo,"For sure I will be interested in knowing more.. My property is currently
rented and I am expecting my tenant to vacate by end of this year.. So a
little bit of understanding on hoe this works will be useful for the
future.. Please also indicate how you support an NRI customer .
regards
Amit Sharma"
2295,ConnectLater,"Thank you for your email below.
In regards to the payroll system, we already have our complete HR systems
which include the payroll module as well as on the attendance module.
Therefore, at this moment we shall maintain with our system that we have
build since 2013 and thank you again for your email."
2650,Deactivated,"Sorry, currently i am not interested in it.
Thanks"
2399,Unsubscribed,"Please unsubscribe me, we are not interested."
1320,OutOfOffice,"I am on leave and would be back in office on 4th Jan 2021. During the period, I will have limited access of phone and mails. If you require immediate support, please text or call me.
KAPIL JAIN"
508,ConnectLater,"Thank you for contacting Green Park, we will endeavour to respond as soon as possible."
2224,OutOfOffice,"I am out of the office. I will return to the office on 10/26/2020. If there is a need to contact me immediately, please reach out to me email or the number below."
447,SeekingMoreInfo,Sure. Can you please share your mobile number Raunak?
446,ConnectLater,"Since due to covid -19 , we are not into operations .
After resuming production will share the info.
Ritesh kumar"
974,OutOfOffice,"Thanks for your email. Please be informed that I am on leave and will not be available on emails/mobile.
For emergencies, please leave a text message to 9874656665.
Thanks for your understanding & cooperation."
778,Unsubscribed,"This is spam. Didn‚Äôt ask for your emails so stop.
Best regards,"
1854,OutOfOffice,"ÔªøI am currently out of the office. I will be returning on Tuesday, September 29th. I will have limited access."
1044,ConnectLater,Iets discuss this next week please.
2698,OutOfOffice,"I will be out of the office until Monday, September 28th"
2489,AgreedToMeet,yes
653,OutOfOffice,"I am out of the office with delayed access to e-mail and will respond as soon as possible.
Regards,
Drew"
346,ReferredSomeone,"Thank you for your email. I have left MTU India and your email is not forwarded.
Please get in touch with Mr. Anup Dandekar on Email: anup.dandekar@rolls-royce.com
Best regards,
Prashant"
126,ConnectLater,"Yes you can call after 11am.
Regards
Gaurav Modi"
2217,OutOfOffice,Thank you for your email - On Friday 11th and Monday 14th September I'm on annual leave. I will respond to your request on my return
339,OutOfOffice,"I will be on vacation beginning 6/30 and returning 7/6. I will be responding to emails upon my return.
Thank you
Matt Coggin"
2160,OutOfOffice,out of office today
1088,OutOfOffice,"Sorry I missed you! I am currently out of the office enjoying Mammoth ! We will be returning Wednesday the 15th. If you should have an immediate need, please email adminassist@cybercoders.com. For all other concerns I will reply when I am back."
1464,OutOfOffice,"Thank you for your email.
Please be advised that I am away and will return to work on Thursday 27th August 2020."
1018,AgreedToMeet,Can we get on a call tomorrow second have to discuss this further?
1469,OutOfOffice,ÔªøThank you for your email. I am on leave on Friday 6th November and I will reply to your email when I return.
973,ReferredSomeone,"I no longer work at ANM. For any marketing related questions, please contact Lititia Phillips, at Lititia.phillips@anm.com<mailto:Lititia.phillips@anm.com>.
Have a great day,"
1038,SeekingMoreInfo,"Glad to connect !
We (MyHealthcare) need 3 Sr Software Engineer for 2-3 months to work on an ongoing project. Please find the JD below and let me know the quotation and if any resources are available to initiate the project."
2364,Unsubscribed,Please remove me from your mailing list.
2617,OutOfOffice,"Please note that for Friday 18th, I will be out of the office as of noon, returning on Monday Sept 21st. ÔøΩIf this is urgent please contact Laurie Cooper at lauriec@hirepower.ca. ÔøΩ Thank you very much for your email and patience. ÔøΩMeryl"
1520,OutOfOffice,"Hello, I'm on vacation from November 2nd to November 8th back on November 9th. Please text me if you need to reach me."
550,OutOfOffice,"I will be on leave from 7th July till 10th July, would not be having
access to my emails, during this time. You may reach out to my manager -
rashmi.naik@druva.com <mailto:rashmi.naik@druva.com> .
Deepak Rana"
1051,OutOfOffice,"I will be out of the office until September 21, 2020."
374,ConnectLater,"Sorry. I am little busy in work. so could not able to reply to your mail.
As per my calendar, i am available on Wednesday second half at 4pm. Pl set up call at this time.
Regards"
